,0
7934,0
7935,13
7937,15
7972,0
7974,16
7979,0
7980,13
7982,15
8017,0
8019,16
8024,0
8025,13
8027,15
8062,0
8064,16
8069,0
8070,13
8072,15
8107,0
8109,16
8114,0
8115,13
8117,15
8152,0
8154,16
8159,0
8160,13
8162,15
8197,0
8199,16
8204,0
8205,13
8207,15
8242,0
8244,16
8249,12
8250,0
8252,15
8279,0
8285,16
8290,0
8291,13
8293,15
8328,0
8330,16
8335,12
8336,0
8338,15
8365,0
8371,16
8376,12
8377,0
8379,15
8406,0
8412,16
8417,0
8418,13
8420,15
8455,0
8457,16
8462,12
8463,0
8465,15
8492,0
8498,16
8503,12
8504,0
8506,15
8533,0
8539,16
8544,0
8545,13
8547,15
8582,0
8584,16
8589,12
8590,0
8592,15
8619,0
8625,16
8630,12
8631,0
8633,15
8660,0
8666,16
8671,0
8672,13
8674,15
8709,0
8711,16
8716,12
8717,0
8719,15
8746,0
8752,16
8757,12
8758,0
8760,15
8787,0
8793,16
8798,0
8799,13
8801,15
8836,0
8838,16
8843,12
8844,0
8846,15
8873,0
8879,16
8884,12
8885,0
8887,15
8914,0
8920,16
8925,0
8926,13
8928,15
8963,0
8965,16
8970,12
8971,0
8973,15
9000,0
9006,16
9011,0
9012,13
9014,15
9049,0
9051,16
9056,0
9057,13
9059,15
9094,0
9096,16
9099,12
9100,0
9101,15
9109,16
9112,12
9113,0
9114,15
9122,16
9125,0
9127,0
9130,0
9137,0
9142,18
9191,0
9192,12
9196,15
9197,14
9284,10
9286,13
9287,0
9288,31
9302,28
9324,0
9500,0
9501,10
9519,28
9541,0
9717,0
9718,10
9736,28
9758,0
9934,0
9935,10
9953,28
9975,0
10151,0
10152,10
10170,28
10192,0
10368,0
10369,10
10387,28
10409,0
10585,0
10586,10
10604,28
10626,0
10802,0
10803,10
10821,28
10843,0
11019,0
11020,10
11038,28
11060,0
11236,0
11283,0
11285,0
11306,15
11312,14
11314,29
11315,31
11316,16
11317,28
11320,0
11338,8
11341,0
11388,8
11391,0
11436,8
11437,7
11497,8
11498,7
11556,8
11559,0
11617,8
11620,0
11672,8
11676,7
11738,8
11741,0
11788,8
11791,0
11838,8
11841,0
11886,8
11887,7
11947,8
11948,7
12006,8
12009,0
12067,8
12070,0
12122,8
12126,7
12188,8
12191,0
12238,8
12241,0
12288,8
12291,0
12336,8
12337,7
12397,8
12398,7
12456,8
12459,0
12517,8
12520,0
12572,8
12576,7
12638,8
12641,0
12688,8
12691,0
12738,8
12741,0
12786,8
12787,7
12847,8
12848,7
12906,8
12909,0
12967,8
12970,0
13022,8
13026,7
13088,8
13091,0
13138,8
13141,0
13188,8
13191,0
13236,8
13237,7
13297,8
13298,7
13356,8
13359,0
13417,8
13420,0
13472,8
13476,7
13538,8
13541,0
13588,8
13591,0
13638,8
13641,0
13686,8
13687,7
13747,8
13748,7
13806,8
13809,0
13867,8
13870,0
13922,8
13926,7
13988,8
13991,0
14038,8
14041,0
14088,8
14091,0
14136,8
14137,7
14197,8
14198,7
14256,8
14259,0
14317,8
14320,0
14372,8
14376,7
14438,8
14441,0
14488,8
14491,0
14538,8
14541,0
14586,8
14587,7
14647,8
14648,7
14706,8
14709,0
14767,8
14770,0
14822,8
14826,7
14888,8
14891,0
14938,8
14941,0
14988,8
14991,0
15036,8
15037,7
15097,8
15098,7
15156,8
15159,0
15217,8
15220,0
15272,8
15276,7
15338,8
15341,0
15388,8
15391,0
15438,8
15441,0
15486,8
15487,7
15547,8
15548,7
15606,8
15609,0
15667,8
15670,0
15722,8
15726,7
15788,8
15791,0
15838,8
15841,0
15888,8
15891,0
15936,8
15937,7
15997,8
15998,7
16056,8
16059,0
16117,8
16120,0
16172,8
16176,7
16238,8
16241,0
16288,8
16291,0
16298,28
16300,16
16307,0
16312,0
16317,0
16322,0
16327,0
16338,0
16343,0
16347,0
16351,0
16352,0
16353,0
16354,0
16355,0
16356,0
16357,0
16358,0
16359,0
16360,0
16361,0
16362,0
16363,0
16364,0
16365,0
16366,0
16367,0
16368,0
16369,0
16370,0
16371,0
16372,0
16373,0
16374,0
16375,0
16376,0
16377,0
16378,0
16379,0
16380,0
16381,0
16382,0
16383,0
16384,0
16385,0
16386,0
16387,0
16388,0
16389,0
16390,0
16391,0
16392,0
16393,0
16394,0
16395,0
16396,0
16397,0
16398,0
16399,0
16400,0
16401,0
16402,0
16403,0
16404,0
16405,0
16406,0
16407,0
16408,0
16409,0
16410,0
16411,0
16415,0
16417,0
16418,0
16419,0
16420,0
16421,0
16422,0
16423,0
16424,0
16425,0
16426,0
16427,0
16428,0
16429,0
16430,0
16431,0
16432,0
16433,0
16434,0
16435,0
16436,0
16437,0
16438,0
16439,0
16440,0
16441,0
16442,0
16443,0
16444,0
16445,0
16446,0
16447,0
16448,0
16449,0
16450,0
16451,0
16452,0
16453,0
16454,0
16455,0
16456,0
16457,0
16458,0
16459,0
16460,0
16461,0
16462,0
16463,0
16464,0
16465,0
16466,0
16467,0
16468,0
16469,0
16470,0
16471,0
16472,0
16473,0
16474,0
16475,0
16476,0
16477,0
16480,0
16482,0
16484,0
16485,0
16486,0
16487,0
16488,0
16489,0
16490,0
16491,0
16492,0
16493,0
16494,0
16495,0
16496,0
16497,0
16498,0
16499,0
16500,0
16501,0
16502,0
16503,0
16504,0
16505,0
16506,0
16507,0
16508,0
16509,0
16510,0
16511,0
16512,0
16513,0
16514,0
16515,0
16516,0
16517,0
16518,0
16519,0
16520,0
16521,0
16522,0
16523,0
16524,0
16525,0
16526,0
16527,0
16528,0
16529,0
16530,0
16531,0
16532,0
16533,0
16534,0
16535,0
16536,0
16537,0
16538,0
16539,0
16540,0
16541,0
16542,0
16543,0
16544,0
16547,0
16556,0
16579,10
16580,10
16581,18
16583,9
16584,11
16621,6
16623,13
16624,0
16625,0
16626,17
16630,23
16633,8
16643,15
16651,1
16654,12
16661,11
16668,16
16675,9
16682,18
16689,19
16696,20
16702,21
16712,12
16719,11
16726,16
16733,9
16740,18
16747,19
16754,20
16760,21
16770,12
16777,11
16784,16
16791,9
16798,18
16805,19
16812,20
16818,21
16828,12
16835,11
16842,16
16849,9
16856,18
16864,0
16866,15
16874,0
16883,5
16894,0
16906,23
16909,8
16919,15
16929,15
16939,15
16949,15
16959,15
16969,15
16979,15
16989,15
16999,15
17009,15
17019,15
17029,15
17039,15
17049,15
17059,15
17069,15
17079,15
17089,15
17099,15
17109,15
17119,15
17129,15
17139,15
17149,15
17159,15
17169,15
17179,15
17189,15
17197,1
17200,12
17207,11
17214,16
17221,9
17228,18
17235,19
17242,20
17248,21
17258,12
17265,11
17272,16
17279,9
17286,18
17293,19
17300,20
17306,21
17316,12
17323,11
17330,16
17337,9
17344,18
17351,19
17358,20
17364,21
17374,12
17381,11
17388,16
17395,9
17402,18
17410,0
17412,15
17423,0
17426,5
17437,0
17449,23
17452,8
17462,15
17470,1
17473,12
17480,11
17487,16
17494,9
17501,18
17508,19
17515,20
17521,21
17531,12
17538,11
17545,16
17552,9
17559,18
17566,19
17573,20
17579,21
17589,12
17596,11
17603,16
17610,9
17617,18
17624,19
17631,20
17637,21
17647,12
17654,11
17661,16
17668,9
17675,18
17683,0
17685,15
17693,0
17702,5
17713,0
17725,23
17728,8
17738,15
17748,15
17758,15
17768,15
17778,15
17788,15
17798,15
17808,15
17818,15
17828,15
17838,15
17848,15
17858,15
17868,15
17878,15
17888,15
17898,15
17908,15
17918,15
17928,15
17938,15
17948,15
17958,15
17968,15
17978,15
17988,15
17998,15
18006,1
18009,12
18016,11
18023,16
18030,9
18037,18
18044,19
18051,20
18057,21
18067,12
18074,11
18081,16
18088,9
18095,18
18102,19
18109,20
18115,21
18125,12
18132,11
18139,16
18146,9
18153,18
18160,19
18167,20
18173,21
18183,12
18190,11
18197,16
18204,9
18211,18
18219,0
18221,15
18232,0
18235,5
18246,0
18258,23
18261,8
18271,15
18279,1
18282,12
18289,11
18296,16
18303,9
18310,18
18317,19
18324,20
18330,21
18340,12
18347,11
18354,16
18361,9
18368,18
18375,19
18382,20
18388,21
18398,12
18405,11
18412,16
18419,9
18426,18
18433,19
18440,20
18446,21
18456,12
18463,11
18470,16
18477,9
18484,18
18492,0
18494,15
18502,0
18511,5
18522,0
18534,23
18537,8
18547,15
18557,15
18567,15
18577,15
18587,15
18597,15
18607,15
18617,15
18627,15
18637,15
18647,15
18657,15
18667,15
18677,15
18687,15
18697,15
18707,15
18717,15
18727,15
18737,15
18747,15
18757,15
18767,15
18777,15
18787,15
18797,15
18807,15
18817,15
18827,15
18839,15
18842,1
18845,12
18852,11
18859,16
18866,9
18873,18
18880,19
18887,20
18893,21
18903,12
18910,11
18917,16
18924,9
18931,18
18938,19
18945,20
18951,21
18961,12
18968,11
18975,16
18982,9
18989,18
18996,19
19003,20
19009,21
19019,12
19026,11
19033,16
19040,9
19047,18
19056,0
19071,0
19073,0
19085,23
19088,8
19098,15
19108,15
19118,15
19126,1
19129,12
19136,11
19143,16
19150,9
19157,18
19164,19
19171,20
19177,21
19187,12
19194,11
19201,16
19208,9
19215,18
19222,19
19229,20
19235,21
19245,12
19252,11
19259,16
19266,9
19273,18
19280,19
19287,20
19293,21
19303,12
19310,11
19317,16
19324,9
19331,18
19339,0
19341,15
19349,0
19358,5
19369,0
19381,23
19384,8
19394,15
19404,15
19414,15
19424,15
19434,15
19444,15
19454,15
19464,15
19474,15
19484,15
19494,15
19504,15
19514,15
19524,15
19534,15
19544,15
19554,15
19564,15
19574,15
19584,15
19594,15
19604,15
19614,15
19624,15
19634,15
19644,15
19654,15
19664,15
19674,15
19686,15
19689,1
19692,12
19699,11
19706,16
19713,9
19720,18
19727,19
19734,20
19740,21
19750,12
19757,11
19764,16
19771,9
19778,18
19785,19
19792,20
19798,21
19808,12
19815,11
19822,16
19829,9
19836,18
19843,19
19850,20
19856,21
19866,12
19873,11
19880,16
19887,9
19894,18
19903,0
19918,0
19920,0
19932,23
19935,8
19945,15
19955,15
19965,15
19975,15
19985,15
19995,15
20005,15
20015,15
20025,15
20035,15
20045,15
20055,15
20065,15
20075,15
20085,15
20095,15
20105,15
20115,15
20125,15
20135,15
20145,15
20155,15
20165,15
20175,15
20185,15
20195,15
20205,15
20215,15
20225,15
20237,15
20240,1
20243,12
20250,11
20257,16
20264,9
20271,18
20278,19
20285,20
20291,21
20301,12
20308,11
20315,16
20322,9
20329,18
20336,19
20343,20
20349,21
20359,12
20366,11
20373,16
20380,9
20387,18
20394,19
20401,20
20407,21
20417,12
20424,11
20431,16
20438,9
20445,18
20454,0
20469,0
20471,0
20483,23
20486,8
20496,15
20506,15
20516,15
20526,15
20536,15
20546,15
20556,15
20566,15
20576,15
20586,15
20596,15
20606,15
20616,15
20626,15
20636,15
20646,15
20656,15
20666,15
20676,15
20686,15
20696,15
20706,15
20716,15
20726,15
20736,15
20746,15
20756,15
20766,15
20776,15
20788,15
20791,1
20794,12
20801,11
20808,16
20815,9
20822,18
20829,19
20836,20
20842,21
20852,12
20859,11
20866,16
20873,9
20880,18
20887,19
20894,20
20900,21
20910,12
20917,11
20924,16
20931,9
20938,18
20945,19
20952,20
20958,21
20968,12
20975,11
20982,16
20989,9
20996,18
21005,0
21020,0
21022,0
21034,23
21037,8
21047,15
21057,15
21067,15
21077,15
21087,15
21097,15
21107,15
21117,15
21127,15
21137,15
21147,15
21157,15
21167,15
21177,15
21187,15
21197,15
21207,15
21217,15
21227,15
21237,15
21247,15
21257,15
21267,15
21277,15
21287,15
21297,15
21307,15
21317,15
21327,15
21339,15
21342,1
21345,12
21352,11
21359,16
21366,9
21373,18
21380,19
21387,20
21393,21
21403,12
21410,11
21417,16
21424,9
21431,18
21438,19
21445,20
21451,21
21461,12
21468,11
21475,16
21482,9
21489,18
21496,19
21503,20
21509,21
21519,12
21526,11
21533,16
21540,9
21547,18
21556,0
21571,0
21573,0
21585,23
21588,8
21598,15
21608,15
21618,15
21628,15
21638,15
21648,15
21658,15
21668,15
21678,15
21688,15
21698,15
21708,15
21718,15
21728,15
21738,15
21748,15
21758,15
21768,15
21778,15
21788,15
21798,15
21808,15
21818,15
21828,15
21838,15
21848,15
21858,15
21868,15
21878,15
21890,15
21893,1
21896,12
21903,11
21910,16
21917,9
21924,18
21931,19
21938,20
21944,21
21954,12
21961,11
21968,16
21975,9
21982,18
21989,19
21996,20
22002,21
22012,12
22019,11
22026,16
22033,9
22040,18
22047,19
22054,20
22060,21
22070,12
22077,11
22084,16
22091,9
22098,18
22107,0
22122,0
22124,0
22136,23
22139,8
22149,15
22159,15
22169,15
22179,15
22189,15
22199,15
22209,15
22219,15
22229,15
22239,15
22249,15
22259,15
22269,15
22279,15
22289,15
22299,15
22309,15
22319,15
22329,15
22339,15
22349,15
22359,15
22369,15
22379,15
22389,15
22399,15
22409,15
22419,15
22429,15
22441,15
22444,1
22447,12
22454,11
22461,16
22468,9
22475,18
22482,19
22489,20
22495,21
22505,12
22512,11
22519,16
22526,9
22533,18
22540,19
22547,20
22553,21
22563,12
22570,11
22577,16
22584,9
22591,18
22598,19
22605,20
22611,21
22621,12
22628,11
22635,16
22642,9
22649,18
22658,0
22673,0
22675,0
22687,23
22690,8
22700,15
22710,15
22720,15
22730,15
22740,15
22750,15
22760,15
22770,15
22780,15
22790,15
22800,15
22810,15
22820,15
22830,15
22840,15
22850,15
22860,15
22870,15
22880,15
22890,15
22900,15
22910,15
22920,15
22930,15
22940,15
22950,15
22960,15
22970,15
22980,15
22992,15
22995,1
22998,12
23005,11
23012,16
23019,9
23026,18
23033,19
23040,20
23046,21
23056,12
23063,11
23070,16
23077,9
23084,18
23091,19
23098,20
23104,21
23114,12
23121,11
23128,16
23135,9
23142,18
23149,19
23156,20
23162,21
23172,12
23179,11
23186,16
23193,9
23200,18
23209,0
23224,0
23226,0
23238,23
23241,8
23251,15
23261,15
23271,15
23279,1
23282,12
23289,11
23296,16
23303,9
23310,18
23317,19
23324,20
23330,21
23340,12
23347,11
23354,16
23361,9
23368,18
23375,19
23382,20
23388,21
23398,12
23405,11
23412,16
23419,9
23426,18
23433,19
23440,20
23446,21
23456,12
23463,11
23470,16
23477,9
23484,18
23492,0
23494,15
23502,0
23511,5
23522,0
23534,23
23537,8
23547,15
23557,15
23567,15
23577,15
23587,15
23597,15
23607,15
23617,15
23627,15
23637,15
23647,15
23657,15
23667,15
23677,15
23687,15
23697,15
23707,15
